시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
한라종합시장,상설장,,경상북도 포항시 북구 용흥동 357-1,매일,36.04122821,129.3512696,63,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,2011,,2020-02-25,6470000,경상북도
영남시장,상설장,,경상북도 포항시 남구 동해면 약전리 436-3,매일,35.9879423,129.4496134,53,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1990,,2020-02-25,6470000,경상북도
수암상가시장,상설장,울산광역시 남구 수암로 128번길 12,울산광역시 남구 야음동 697-9,매일,35.5269662,129.3207713,86,"채소,육류,과일,의류 등",온누리상품권+울산페이+제로페이,http://suam.co.kr/,Y,N,1970,052-275-4041,2020-05-30,3700000,울산광역시 남구
수암종합시장,상설장,울산광역시 남구 수암로 120-2,울산광역시 남구 야음동 698-16,매일,35.5278581,129.320239,52,"채소,과일,식당,의류 등",온누리상품권+울산페이+제로페이,,Y,N,1976,052-266-5863,2020-05-30,3700000,울산광역시 남구
야음상가시장,상설장,울산광역시 남구 수암로 244-6,울산광역시 남구 야음동 815-10,매일,35.523617,129.3318715,130,"채소,육류,과일,의류,식당 등",온누리상품권+울산페이+제로페이,http://www.yaumsijang.com/,Y,N,1976,052-265-0338,2020-05-30,3700000,울산광역시 남구
㈜야음시장,상설장,울산광역시 남구 수암로 234,울산광역시 남구 야음동 815-22,매일,35.52405894,129.3313722,85,"채소,육류,과일,의류,식당 등",온누리상품권+울산페이+제로페이,,Y,Y,1976,052-265-8316,2020-05-30,3700000,울산광역시 남구
신정평화시장,상설장,울산광역시 남구 봉월로67번길 17,울산광역시 남구 신정동 1600-3,매일,35.538337,129.3035526,75,"의류,공산품,식당 등",온누리상품권+울산페이+제로페이,,Y,Y,1985,052-275-2868,2020-05-30,3700000,울산광역시 남구
울산산업공구월드,상설장,울산광역시 남구 갈밭로24,울산광역시 남구 삼산동 1591-4,매일,35.535788,129.3426382,286,"공구,컴퓨터,산업용 기자재",온누리상품권+울산페이+제로페이,http://www.ulsantools.com/,Y,Y,1998,052-266-8796,2020-05-30,3700000,울산광역시 남구
효자시장,상설장,,경상북도 포항시 남구 효자동 301-1,매일,36.007998,129.331587,205,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1971,054-277-9251,2020-02-25,6470000,경상북도
포항운하송림시장,상설장,,경상북도 포항시 남구 송도동 493-11,매일,36.02820326,129.376314,80,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1987,,2020-02-25,6470000,경상북도
영일대북부시장,상설장,,경상북도 포항시 북구 대신동 63-16,매일,36.046637,129.368916,113,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1965,,2020-02-25,6470000,경상북도
구룡포시장,상설장,,경상북도 포항시 남구 구룡포읍 구룡포리 963-2,"매일,3일,8일",35.99031583,129.5540604925,105,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1937,054-284-9040,2020-02-25,6470000,경상북도
오천시장,상설장,,경상북도 포항시 남구 오천읍 세계리 823-1,"매일,5일,10일",35.965856,129.417961,115,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1930,054-292-5245,2020-02-25,6470000,경상북도
흥해시장,상설장,,경상북도 포항시 북구 흥해읍 성내리 61-2,"매일,2일,7일",36.11061955,129.3483873546,109,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1965,,2020-02-25,6470000,경상북도
남부시장,상설장,,경상북도 포항시 남구 상도동 629,매일,36.0126251,129.3561417,35,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1987,,2020-02-25,6470000,경상북도
해도5시장(형산시장),상설장,,경상북도 포항시 남구 대도동 143-1,매일,36.0127023,129.366493,40,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1990,,2020-02-25,6470000,경상북도
상대종합시장,상설장,경상북도 포항시 남구 양학천로76번길 13,,매일,36.01993305,129.3611077369,41,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1986,,2020-02-25,6470000,경상북도
민락씨랜드,상설장,부산시 수영구 광안해변로 299(민락동),,매일,,,55,활어 등,온누리상품권,, ,Y,1998,051-757-9724,2020-06-20,3380000,부산광역시 수영구
동해종합시장,상설장,,경상북도 포항시 남구 해도동 435-2,매일,36.02580836,129.3709491,110,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1981,,2020-02-25,6470000,경상북도
송도시장,상설장,,경상북도 포항시 남구 송도동 440-6,매일,36.03282598,129.3752815,56,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1982,,2020-02-25,6470000,경상북도
청림시장,상설장,,경상북도 포항시 남구 청림동 588-2,매일,35.99657647,129.4103563,13,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1985,,2020-02-25,6470000,경상북도
양학시장,상설장,,경상북도 포항시 북구 학잠동 83,매일,36.02726757,129.3497409,43,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1981,,2020-02-25,6470000,경상북도
중앙시장,상설장,,경상북도 포항시 북구 죽도동 625-15,매일,36.02313747,129.3554276087,22,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1986,,2020-02-25,6470000,경상북도
서부시장,상설장,,경상북도 포항시 북구 용흥동 142-1,매일,36.03029686,129.3582655,22,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1986,,2020-02-25,6470000,경상북도
용흥시장,상설장,,경상북도 포항시 북구 용흥동 366,매일,36.0420894617,129.3519632286,10,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1988,,2020-02-25,6470000,경상북도
두호1시장,상설장,,경상북도 포항시 북구 창포동 630,매일,36.06174237,129.3693597,146,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1991,,2020-02-25,6470000,경상북도
장량시장,상설장,,경상북도 포항시 북구 장성동 866-302,매일,36.06545665,129.3772524,31,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1991,,2020-02-25,6470000,경상북도
장성종합시장,상설장,,경상북도 포항시 북구 장성동 866-301,매일,36.0656154,129.3770619,39,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1987,,2020-02-25,6470000,경상북도
그린종합시장,상설장,,경상북도 포항시 북구 장성동 1352-1,매일,36.06729309,129.380961,30,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,Y,1986,,2020-02-25,6470000,경상북도
장량성도시장,상설장,,경상북도 포항시 북구 두호동 1079,매일,36.0682796,129.3813725,65,"농산물 생필품, 수산물, 잡화 등","포항사랑상품권, 온누리상품권",,Y,N,1993,,2020-02-25,6470000,경상북도
감포시장,상설장+5일장,경상북도 경주시 감포읍 감포로 115,경상북도 경주시 감포읍 감포리 436-1,매일+3일+8일,35.80410932,129.5020155,51,"건어물,회",온누리상품권,,Y,Y,1959,054-777-1102,2020-06-30,6470000,경상북도
안강시장,상설장+5일장,경상북도 경주시 안강읍 비화중로3길 26-3,경상북도 경주시 안강읍 양월리 1350-1,매일+4일+9일,35.99030934,129.2217084,252,"생선,야채,잡화",온누리상품권,,Y,Y,1923,054-762-5356,2020-06-30,6470000,경상북도
건천시장,상설장+5일장,경상북도 경주시 건천읍 건천시장1길 7,경상북도 경주시 건천읍 건천리 341-1,매일+5일+10일,35.8485940608,129.1053325787,38,"생선,야채,잡화",온누리상품권,,Y,Y,1914,,2020-06-30,6470000,경상북도
외동시장,5일장,경상북도 경주시 외동읍 입실시장길 8-3,경상북도 경주시 외동읍 입실리 1020,3일+8일,35.71496203,129.326179,78,"생선,야채,잡화",온누리상품권,,Y,N,1916,,2020-06-30,6470000,경상북도
양북시장,5일장,경상북도 경주시 양북면 감은로 53-8,경상북도 경주시 양북면 어일리 1295-558,5일+10일,35.79041058,129.4412154,48,"생선,야채,잡화",온누리상품권,,Y,Y,1942,,2020-06-30,6470000,경상북도
양남시장,상설장+5일장,경상북도 경주시 양남면 하서중앙길 56-28,경상북도 경주시 양남면 하서리 1466-2,매일+4일+9일,35.67538067,129.4636509,60,"건어물,야채",온누리상품권,,Y,Y,1943,,2020-06-30,6470000,경상북도
산내시장,5일장,경상북도 경주시 산내면 의곡중앙길 27,경상북도 경주시 산내면 의곡리 155-10,3일+8일,35.75781598,129.0464702,26,"야채,잡화",온누리상품권,,Y,N,1960,,2020-06-30,6470000,경상북도
서면시장,5일장,경상북도 경주시 서면 내서로 401-5,경상북도 경주시 서면 아화리 240-2,1일+6일,35.89506287,129.0480446,18,"생선,야채,잡화",온누리상품권,,Y,N,1929,,2020-06-30,6470000,경상북도
불국시장,상설장+5일장,경상북도 경주시 불국장터길 11-4,경상북도 경주시 구정동 429-7,매일+4일+9일,35.7757512,129.3011828,34,"생선,야채,잡화",온누리상품권,,Y,Y,1965,,2020-06-30,6470000,경상북도
계산시장,상설장,인천광역시 계양구 계산시장길 10-22,인천광역시 계양구 계산동 960-26,매일,37.53932947,126.7247586,135,농축수산물,온누리상품권,http://blog.daum.net/gyesansijang,Y,Y,1982,032-541-8778,2020-03-02,3550000,인천광역시 계양구
작전시장,상설장,인천광역시 계양구 작전시장로 25,인천광역시 계양구 작전동 856-125,매일,37.53251414,126.7242954,131,농축수산물,온누리상품권,https://blog.naver.com/jjtmarket,N,Y,1986,032-544-5773,2020-03-02,3550000,인천광역시 계양구
미래타운제2종합시장,상설장,"경기도 성남시 분당구 불정로376번길31(서현동,효자촌주상복합)",경기도 성남시 분당구 서현동 311,매일,37.3722542188,127.1388839,61,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1994,031-704-8151,2020-07-17,3780000,경기도 성남시
성남중앙지하시장,상설장,경기도 성남시 수정구 산성대로243-5등7필지(신흥동),경기도 성남시 수정구 신흥동 2467등7필지,매일,37.43757992,127.1408589,508,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1995,031-755-0670,2020-07-17,3780000,경기도 성남시
분당우성시장,상설장,경기도 성남시 분당구 중앙공원로40번길42(서현동),경기도 성남시 분당구 서현동 94-3,매일,37.3781831972,127.1323805326,78,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1995,031-701-4309,2020-07-17,3780000,경기도 성남시
현대프라자시장,상설장,경기도 성남시 분당구 돌마로364(수내동),경기도 성남시 분당구 수내동 79-2,매일,37.36999034,127.1236664,88,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1996,031-717-3044,2020-07-17,3780000,경기도 성남시
분당종합시장,상설장,경기도 성남시 분당구 돌마로366번길42(수내동),"경기도 성남시 분당구 수내동 83-1,2",매일,37.36718369,127.1267473,40,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1996,031-716-9814,2020-07-17,3780000,경기도 성남시
코끼리시장,상설장,"경기도 성남시 분당구 내정로166번길7-6(수내동,파크타운)",경기도 성남시 분당구 수내동 56,매일,37.3731105950,127.1204224109,92,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1996,031-713-1071,2020-07-17,3780000,경기도 성남시
신흥시장,상설장,경기도 성남시 수정구 수정로214번길6(신흥동),경기도 성남시 수정구 신흥동 3436-10,매일,37.44397781,127.1433851,21,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,N,Y,1977,031-742-5564,2020-07-17,3780000,경기도 성남시
금광시장,상설장,경기도 성남시 중원구 산성대로426번길5등 9필지(금광동),경기도 성남시 중원구 금광동 4622등 9필지,매일,37.45003428,127.1599078,35,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1991,031-732-0345,2020-07-17,3780000,경기도 성남시
현대시장,상설장,경기도 성남시 분당구 중앙공원로40번길8(서현동),경기도 성남시 분당구 서현동 94,매일,37.3797065792,127.1301704,105,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1992,031-701-1240,2020-07-17,3780000,경기도 성남시
동신종합시장,상설장,경기도 성남시 분당구 돌마로361(수내동),경기도 성남시 분당구 수내동 63-2,매일,37.3706247532,127.1229704,84,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1993,031-711-8628,2020-07-17,3780000,경기도 성남시
단대마트시장,상설장,경기도 성남시 중원구 산성대로372번길10(금광동),경기도 성남시 중원구 금광동 10,매일,37.44467568,127.1580641,74,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1993,031-749-8982,2020-07-17,3780000,경기도 성남시
코코프라자시장,상설장,경기도 성남시 분당구 서현로210번길20(서현동),"경기도 성남시 분당구 서현동 248-5,6",매일,37.38586108,127.1240354,63,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1994,031-707-7315,2020-07-17,3780000,경기도 성남시
미래그린시장,상설장,"경기도 성남시 분당구 불정로386번길10(서현동,효자촌미래타운)",경기도 성남시 분당구 서현동 307,매일,37.3734157196,127.1380351795,60,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1994,031-704-8151,2020-07-17,3780000,경기도 성남시
불국사상가시장,상설장,경상북도 경주시 진현로1길 59-9,경상북도 경주시 진현동 66-5,매일,35.78622772,129.3274232,102,"특산품,식당",온누리상품권,,Y,Y,1974,054-746-6666,2020-06-30,6470000,경상북도
성동시장,상설장+5일장,경상북도 경주시 원화로 281번길 11,경상북도 경주시 성동동 51-1,매일+2일+7일,35.84539316,129.2163119,610,"생선,야채,잡화",온누리상품권,,Y,Y,1971,054-772-4226,2020-06-30,6470000,경상북도
대구 약령시장,상설장,대구광역시 중구 달구벌대로415길 49,대구광역시 중구 남성로 51-1,매일,35.86853023,128.5899179,211,"한약재, 농수산물",온누리상품권+전자상품권,http://dgom.daegu.go.kr/,Y,Y,2015,053-253-4729,2019-06-27,6270000,대구광역시
광덕시장,상설장,대구광역시 남구 자유6길 50,대구광역시 남구 대명동 460-1,매일,,,20,"식품, 잡화",온누리상품권,-,Y,N,1971,053-622-7040,2019-09-05,3440000,대구광역시 남구
안지랑시장,상설장,대구광역시 남구 대명로36길 63,대구광역시 남구 대명동 872-1,매일,,,25,"식품, 잡화",온누리상품권,-,Y,N,1971,053-652-6569,2019-09-05,3440000,대구광역시 남구
관문시장,상설장,대구광역시 남구 관문시장2길 43,대구광역시 남구 대명동 1160,매일,,,31,"식품, 잡화",온누리상품권,-,Y,N,1972,000-000-0000,2019-09-05,3440000,대구광역시 남구
관문상가시장,상설장,대구광역시 남구 대명서7길 24-3,대구광역시 남구 대명동 1157-10,매일,,,290,"식품, 잡화",온누리상품권,-,Y,Y,2005,053-627-2610,2019-09-05,3440000,대구광역시 남구
모란종합시장,상설장,경기도 성남시 중원구 둔촌대로69번길8(성남동),경기도 성남시 중원구 성남동 4214,매일,37.4306351482,127.1274244,31,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,Y,Y,1974,031-756-1389,2020-07-17,3780000,경기도 성남시
현대시장,상설장,경기도 성남시 수정구 수정북로18(태평동),경기도 성남시 수정구 태평동 3683,매일,37.4417019018,127.1319745,63,"농수산물, 생필품,잡화 등","온누리상품권, 성남사랑상품권",,N,Y,1974,031-753-2828,2020-07-17,3780000,경기도 성남시
중앙시장,상설장+5일장,경상북도 경주시 금성로 295,경상북도 경주시 성건동 339-2,매일+2일+7일,35.8439604877,129.2067452970,700,"생선,야채,잡화",온누리상품권,,Y,Y,1983,054-772-5322,2020-06-30,6470000,경상북도
북부상가시장,상설장,경상북도 경주시 금성로 396번길 7,경상북도 경주시 성건동 629-10,매일,35.85349395,129.2075843,60,"잡화,의류,야채",온누리상품권,,Y,Y,2011,,2020-06-30,6470000,경상북도
경주중심상가시장,상설장,경상북도 경주시 태종로 791번길 16,경상북도 경주시 황오동 234-1,매일,35.8422588,129.2146798,513,"의류,음식",온누리상품권,,Y,Y,2008,054-774-5689,2020-06-30,6470000,경상북도
경주봉황중심상가시장,상설장,경상북도 경주시 원효로 89,경상북도 경주시 노동동 230,매일,35.84221752,129.2106594,520,"의류,음식",온누리상품권,,N,Y,2010,,2020-06-30,6470000,경상북도
북정로중심상가시장,상설장,경상북도 경주시 북정로 15,경상북도 경주시 황오동 242-4,매일,35.84229281,129.215181,39,"의류,음식",온누리상품권,,N,Y,2013,,2020-06-30,6470000,경상북도
부곡시장,상설장,경상북도 김천시 부곡시장1길13,경상북도 김천시 부곡동 409-1,5일 10일,36.125493,128.104445,25,잡화음식점 등,온누리상품권,,Y,Y,1980,,2020-01-01,6470000,경상북도
중앙시장,상설장,경상북도 김천시 중앙시장3길 3,경상북도 김천시 모암동 157-19,5일 10일,36.119037,128.124954,70,의류잡화음식점 등,온누리상품권,,N,N,1953,054-434-5055,2020-01-02,6470000,경상북도
평화시장,상설장+5일장,경상북도 김천시 평화길 88,경상북도 김천시 평화동 334-6,5일 10일,36.123764,128.111334,110,의류잡화농산물 등,온누리상품권,,Y,Y,1978,054-431-2155,2020-01-03,6470000,경상북도
황금시장,상설장+5일장,경상북도 김천시 황금시장4길 20,경상북도 김천시 황금동 31-1,5일 10일,36.116664,128.125282,160,농산물 순대 잡화 등,온누리상품권,http://goldmarket.allplaces.kr,Y,Y,1964,054-434-5948,2020-01-04,6470000,경상북도
안동구시장,상설장,경상북도 안동시 번영1길55,,매일,36.56581135,128.7278752,234,"안동찜닭,제수용품,의류 등",온누리상품권,www.adjang.kr,Y,Y,1946,054-858-9002,2020-09-02,6470000,경상북도
북문시장,5일장,경상북도 안동시 북문옥정길 9,,2일+7일,36.5691721,128.732226,89,농산물,온누리상품권,,Y,Y,1970,,2020-09-02,6470000,경상북도
삼익비치A 상가시장,상설장,부산시 수영구 광안해변로 95(남천동),,매일,,,118,"의류소품,가구 등",온누리상품권,, ,Y,1980,051-623-6431,2020-06-20,3380000,부산광역시 수영구
삼익비치B상가시장,상설장,부산시 수영구 광안해변로 122(남천동),,매일,,,111,"농수산물, 슈퍼등",온누리상품권,, ,Y,1981,051-626-8843,2020-06-20,3380000,부산광역시 수영구
현대종합상가시장,상설장,부산시 수영구 수영로741번길 12(수영동),,매일,,,30,"일용잡화, 의류 등",온누리상품권,, ,Y,1988,051-751-1008,2020-06-20,3380000,부산광역시 수영구
망미삼성상가시장,상설장,부산시 수영구 연수로310번길 74(망미동),,매일,,,25,"생식품, 슈퍼등",온누리상품권,, , ,1992,051-757-5042,2020-06-20,3380000,부산광역시 수영구
망미종합시장,상설장,부산시 수영구 연수로310번길 16(망미동),,매일,,,33,"생식품, 양념류 등",온누리상품권,, , ,1978,051-755-0101,2020-06-20,3380000,부산광역시 수영구
광안종합시장,상설장,부산시 수영구 무학로49번길 71(광안동),,매일,,,41,"생식품, 양념류 등",온누리상품권,, , ,1974,051-752-8107,2020-06-20,3380000,부산광역시 수영구
동방시장,상설장,부산시 수영구 감포로8번길 10(민락동),,매일,,,30,"생식품, 양념류 등",온누리상품권,, , ,1977,,2020-06-20,3380000,부산광역시 수영구
세흥시장,상설장,부산시 수영구 남천바다로 16(남천동),,매일,,,55,"생식품, 양념류 등",온누리상품권,, , ,1978,,2020-06-20,3380000,부산광역시 수영구
수영건설시장,상설장,부산시 수영구 망미번영로60번길 9(수영동),,매일,,,38,"생식품, 양념류 등",온누리상품권,, , ,1979,051-752-9473,2020-06-20,3380000,부산광역시 수영구
망미새상가시장,상설장,부산시 수영구 연수로263번길 12-32(망미동),,매일,,,53,"생식품, 양념류 등",온누리상품권,, , ,1977,051-754-9636,2020-06-20,3380000,부산광역시 수영구
수영로타리시장,상설장,부산시 수영구 광서로10번길 74(광안동),,매일,,,36,"생식품, 양념류 등",온누리상품권,, , ,1978,051-751-3500,2020-06-20,3380000,부산광역시 수영구
민락회타운시장,상설장,부산시 수영구 민락수변로 1(민락동),,매일,,,63,활어,온누리상품권,, ,Y,1990,051-757-3000,2020-06-20,3380000,부산광역시 수영구
민락골목시장,상설장,부산시 수영구 광안해변로277번길 28-8(민락동)외,,매일,,,85,"생식품, 양념류 등",온누리상품권,,Y,Y,1983,051-751-5264,2020-06-20,3380000,부산광역시 수영구
수영팔도시장,상설장,부산시 수영구 수영로725번길 35(수영동)외,,매일,,,129,"생식품, 음식류 등",온누리상품권,,Y,Y,1981,051-751-8585,2020-06-20,3380000,부산광역시 수영구
망미중앙시장,상설장,부산시 수영구 망미배산로10번길 40(망미동)외,,매일,,,124,"생식품, 음식류 등",온누리상품권,, ,Y,1980,051-761-2488,2020-06-20,3380000,부산광역시 수영구
광안시장,상설장,부산시 수영구 수영로603번길 18(광안동),,매일,,,59,"생식품, 영념류 등",온누리상품권,,Y,Y,1955,051-753-8723,2020-06-20,3380000,부산광역시 수영구
약초,상설장,충청북도 제천시 원화산로 121,충청북도 제천시 화산동 987,상설,37.127888,128.219592,74,약초 등,제천화폐,http://www.jcyakcho.org/,Y,Y,2008,043-647-0109,2020-03-02,6430000,충청북도
역전,상설장,충청북도 제천시 내토로28길 12,충청북도 제천시 화산동 208-9,상설,37.128988,128.206447,111,식료품 등,제천화폐,없음,Y,Y,1960,043-645-2724,2020-03-02,6430000,충청북도
덕산,상설장,충청북도 제천시 덕산면 약초로3안길5-1,충청북도 제천시 덕산면 도전리 442-4,상설,36.908587,128.167093,51,양채 등,제천화폐,http://www.ds-market.kr/,Y,Y,1980,043-651-9414,2020-03-02,6430000,충청북도
박달재,상설장,충청북도 제천시 백운면 평동로2길 13,충청북도 제천시 백운면 평동리 231-3,상설,37.13839195,128.0231197,58,식료품 등,제천화폐,없음,N,Y,2013,043-648-2114,2020-03-02,6430000,충청북도
구담공설시장,5일장,경상북도 안동시 풍천면 구담배나들길 35,,4일+9일,36.54210084,128.4662767,61,농산물,온누리상품권,,Y,Y,1962,,2020-09-02,6470000,경상북도
서부시장,5일장,경상북도 안동시 서부시장길 51,,2일+7일,36.56611546,128.7153047,120,농산물,온누리상품권,,Y,Y,1970,054-842-4554,2020-09-02,6470000,경상북도
신평공설시장,5일장,경상북도 안동시 녹전면 녹전로 718-10,,5일+10일,36.74280883,128.7749962,5,농산물,,,Y,Y,1958,,2020-09-02,6470000,경상북도
온혜공설시장,5일장,,경상북도 안동시 도산면 온혜리 566-1,5일+10일,36.747811,128.832485,10,농산물,,,Y,Y,1977,,2020-09-02,6470000,경상북도
옹천사설시장,상설장,경상북도 안동시 북후면 산북로 1596,,매일,36.68412781,128.7017371,40,농산물,온누리상품권,,Y,Y,1985,,2020-09-02,6470000,경상북도
용상공설시장,상설장,경상북도 안동시 경동로 862,,매일,36.55947087,128.7501655,62,"과일,채소,의류",온누리상품권,,Y,Y,1976,054-821-0640,2020-09-02,6470000,경상북도
운산공설시장,5일장,,경상북도 안동시 일직면 운산리 78-1,1일+6일,36.474403,128.658979,10,농산물,,,Y,Y,1914,,2020-09-02,6470000,경상북도
