날짜,국가,이름,평점,리뷰,도움
"June 4, 2019",Reviewed in the United States,seiei,1.0,"The cable literately broke with no force, before this the sound quality was fuzzy, the mic people only heard static. Seriously 100 times worse than $2 pair I bought at Bartel drugs. I am an audiophile and have headphones of all varieties, I wanted something I could toss in my work bag for conference calls, its sad Amazon has stooped to relabeling the cheapest Chinese crap they can get their hands on, I expected a lot more from Amazon, especially for the higher price.",9 people found this helpful
"March 12, 2019",Reviewed in the United States,Annie,5.0,"After 2.5 years with my trusty earbuds that came with my iPhone died after a tug-o-war with my dog, it came time for me to go on the hunt for a new pair of earbuds. My budget was a laughable $10, just because I only use these when I'm out jogging with my dog. After a few misses, I settled on these AmazonBasics earbuds. I was wary because of the lack of reviews on this product, but given how everything I've bought from AmazonBasics has been of decent quality, I figured ""why not?"". I've had these guys for a little over a month and I'm so pleasantly surprised by the quality. I'm usually not a fan of the earbuds with the fitted earbuds, as they have always come off as uncomfortable for me. These were surprisingly comfortable. I think it's because the shape of the contour is more oval than circular, so it fits better with the ear hole. The tangle-free cord is amazing, and it's at a good length where it's not too long nor too short. The speaker and mic are decent, I haven't experienced any static nor has the people I've talked to on the phone heard rustling sounds from the mic brushing against my clothes. Overall, I'm pretty sure this is one of the best deals you can get at this price point.",3 people found this helpful
"September 2, 2019",Reviewed in the United States,kevinfTop Contributor: Pets,4.0,"I purchased the a white pair of AmazonBasics In-Ear wired Headphone Earbuds with a microphone. These work great and I haven't had any issues. They sound great with the exception of me wanting more bass. However; I buy a good pair of ear buds separately that are to certain specifications to include heavy Bass and I purchased these AmazonBasics as a back up pair.

These sound great and are equivalent to headphone earbuds double the cost. I usually allow myself 20$ for back up earbuds and figured I'd save some cash by buying these and gave them a shot. They work just as well as more expensive pairs and fit better then most. Definitely recommend as a decent pair and already bought myself a lime green pair instead of the white for another back up. If you're looking for a pair with good stereo bass then you may be satisfied because it's there... but I wasn't because I like more of a range than these buds deliver. The other sound ranges are there and sound better than many ear buds I've tried and are well worth the price. Functionality is there with the button working for answering the phone and pausing of media.",2 people found this helpful
"October 6, 2019",Reviewed in the United States,Greenbeans,4.0,"They sound great, noise cancel unless kids are screaming at each other and are somewhat comfortable. I do not like the ""ergonomic"" earbud where you have to put it in the correct ear. If it's not in exactly correct it feels like the hard plastic ear buds. I haven't tried the microphone so I can't review that. Over all it's a pretty good earbud for the price. I would recommend it to someone who doesn't mind the r/l earbud setup.",4 people found this helpful
"May 27, 2021",Reviewed in the United States,CobaltLTH,5.0,So I typically purchase the Panasonic wired earbuds because they fit my ears the best and the sound is decent. However I have noticed lately the price has been climbing and I decided to look for an more cost effective alternative. These fit the bill. Their sound quality and shape are comparable to the ones I usually buy and they were cheaper. The only thing that was really different was that the mic was on the left wire when typically it's in the right in past wired earbuds I've purchased. Not at all and issue for me and maybe a great option for left handed individuals!,No people found this helpful
"May 27, 2019",Reviewed in the United States,Sean B,2.0,"The product came wrapped in bubble wrap and tape, no real packaging. The sound quality would be great but their is a lot of static. The tips are pretty comfortable and it stayed in my ear on treadmill. I got the red and the color is very muted, almost pastel like, I was hoping the color was more bold or bright. At least they were cheap, might not return and just keep for backup.
",4 people found this helpful
"February 14, 2020",Reviewed in the United States,Char,5.0,"These seem comparable to the Apple wired earbuds that come w iPhone but WAY more comfortable and lightweight. So much so i prefer them over any ear plugs I always use at night. Thats because they fit better and cancel noise better. Been knowing I shldnt wait for them to get damaged, need to order couple extra sets of these for their nice $8sumthing price. However, these dont have as much bass as my “Tidybuds” wireless Bluetooth ear buds from Groupon. But I’m ok with that because I use these at bedtime for ASMR and just keep them in, unplug from phone.",One person found this helpful
"July 16, 2019",Reviewed in the United States,Jami,1.0,"They were physically fine, comfortable and I don’t even have high sound quality requirements, I mainly listen to podcasts or audiobooks...but these are a total fail. Crackle and static from the first use. Pass",8 people found this helpful
"March 31, 2020",Reviewed in the United States,A Reader NYC,5.0,"I bought these in white for $7.87 and also a pair of Sephia SO3060 wired earbuds for $12.95. I liked these much better for listening to audiobooks and courses - the sound quality was clearer. The comfort was about the same for each set-not bad - I just used the ear tips that were on them when they came. The packaging of the Sephia earbuds was a fancy 3 layer arrangement that was impossible to get open without tearing the box so I guess I can't return them. The Amazon wired earbuds are much more tangle free than my previous pair, and they came simply packed in a small plastic bag that was very easy to open.",No people found this helpful
"June 19, 2019",Reviewed in the United States,Heather W.,1.0,"Sound constantly breaks up, heavy static. It's really hard to hear anything over the breaking sound
Edit: I've had the earbuds for 6 weeks now because I was too lazy to return them, and only one ear works at a time! I can turn the jack and switch ears, but I'm shocked as I used to always trust Amazon Basics.",7 people found this helpful
"March 18, 2019",Reviewed in the United States,Rose in Portland,1.0,"Worked for 2 weeks. Barely any sounds came out now
12 people found this helpful",No people found this helpful
"March 6, 2021",Reviewed in the United States,Kindle Customer,1.0,"It's been a real long time since I've bought headphones at any price-point that sound awful at any volume.

Pros:
- it works?
- the bass is surprisingly decent?

Cons:
- distortion at ANY volume
- feels cheaper than competitors at this price point

Notes: they have attempted to create a much wider soundstage than these headphones are capable of delivering, as a result the instant a song gets even slightly intense it will distort across the entire soundstage, obviously this is unacceptable. I've had much better experiences with headphones in this same price-point, your better off trying literally any other cheap headphones on amazon, please do not buy these.",2 people found this helpful
"April 6, 2019",Reviewed in the United States,Rainbow Eyes,5.0,These work well for me. Much lower price than Skullcanndy. Fast delivery.,7 people found this helpful
"March 14, 2019",Reviewed in the United States,Jon Janaka,5.0,"This is my second pair of Amazon Basics ear buds. Last pair made it almost 2 years of daily use, ordered these as a replacement.

Mechanical isolation is outstanding just putting these in drops the noise level considerably. 3 sizes of tips included. No line noise from taps. Cable could be longer. Very comfortable snug fit in ear.

Clean bass, good response throughout the spectrum. Mostly use for vdo chat, but testing with some Amazon Prime video gives immersive sound. This is not audiophile gear but certainly gets the job done. Very impressed with the improvement on the last Amazon Basics ear buds I purchased - well worth being double the price.",One person found this helpful
"August 26, 2020",Reviewed in the United States,Giselle Garcia,1.0,"I’m a teacher and bought this product since we start virtual teaching and needed headphones with a mic so my students could hear me clearly. The headphones maybe sounded well for 5 seconds, 6 seconds tops, then it made my students sound like robots who are powered by dollar store batteries. I’m in quarantine so I can’t return them at the moment, and I have to order a different set 🙄
Y’all know how much teachers make??? I don’t have the time or money to be buy headphones just for them to not work. I miss hearing my students complain about math and now I won’t be able to hear the sighs when they realize they still have 79 minutes of class left.

In all seriousness, save your money and don’t buy these ear bud head phones.



",2 people found this helpful
"June 18, 2019",Reviewed in the United States,Tamara,5.0,"I bought these when I needed a pair of earbuds in a hurry. I have ""good"" ones, but I had forgotten to bring them. Since these were basically supposed to be just for one day, I didn't want to spend much, and I didn't have high expectations. What a nice surprise I got with these. For under $10, they're comfortable, and work really well. The don't block out noise completely, like my fancy pair, but they provide decent sound and don't hurt my ears. They were supposed to be a one day patch, but I like them so well that I keep them in my bag all the time. I'm not mad when I have to pull them out to get me through a commute!",One person found this helpful
"October 20, 2020",Reviewed in the United States,Julia,5.0,"I mean, they're not Bose or Beats or anything like that, BUT they are surprisingly good. The bass is good, and they can be VERY loud, or pretty quiet, so the volume control is good. They come with more ear cushions if your ears are smaller or bigger than the default ones, so they fit very nice. Truthfully, I think the sound quality with these is just as good as my AirPods, and they fit better. The only thing I like better about the AirPods is that they're Bluetooth and these are obviously not. You should totally buy these!",No people found this helpful
"December 31, 2019",Reviewed in the United States,PC,5.0,I have 2 pairs of earphones - these and the really good Panasonic ones and I got these because that one has an L-shaped jack that wouldn't go with my phone case - and this one is a trooper just like that one. Great sound quality and wonderful durability. The straight jack on this works perfectly with my phone so that makes it very convenient for me. The cord is a good length.,One person found this helpful
"September 15, 2020",Reviewed in the United States,Ultimate Mommy,3.0,"I love pink! I needed a pair that my husband and teenage boys wouldn’t mistake for the pair that comes in the box with the iPhone.

There are a couple of features that I wasn’t aware of:
1) You will need a converter to use with your iPhone X
2) the control button is NOT for volume. You will only be able to start and stop music or use the microphone.

Nevertheless, it’s definitely a keeper since I have an earphone converter and it’s the perfect shade of pink💕






",No people found this helpful
"October 12, 2019",Reviewed in the United States,pbpvol,1.0,"Left earbud did not work right out of the box. Very cheap feeling plastic parts and I'm not used to expensive earbuds so I'm not making an unfair comparison. To Amazon's credit, they say they will issue an immediate refund but I will not purchase these again. I'll spend a few dollars more (these were about $9) and get some of a little higher quality, I hope.",3 people found this helpful
"July 28, 2020",Reviewed in the United States,J. La Tour,5.0,The first time i used them for a phone call there was an echo on both sides of the call. But after a minute the echo went away and I haven't heard it since. They are very comfortable and the sound is great. I got more than I expected from the purchase.,One person found this helpful
"March 30, 2020",Reviewed in the United States,W. Dempsey,4.0,"These headphones are bare-bones, you can hear from them and they have a mic, that's it. Want something fancy? You're looking in the wrong place. Want something that can take a beating and will work perfectly fine for years to come? These are what you're looking for. I keep them as a backup for my wireless headphones for video calls and such; while they won't blow your mind with sound quality or comfort they get the job done!",No people found this helpful
"February 12, 2019",Reviewed in the United States,Becca,2.0,"I bought these b/c the Amazon Basics HEADPHONES were of great sound quality. Needless to say, I was VERY disappointed and this was the worst earbud I've ever tried. THE WORST, that includes the ones I've bought from dollar tree. Its only saving grace was that it was designed well and came with earbuds of different sizes. That's it.
DO NOT BUY, save money for the Amazon Basics Headphones or buy earphones from a different brand, these were TERRIBLE.",3 people found this helpful
"October 27, 2020",Reviewed in the United States,RJ,1.0,"It was worth a try to get something in a hurry, but these would make better shoelaces than headphones. Half an hour wearing these during a video stream was headache enough. I thought I had suddenly developed tinnitus --in both ears at once! I wish I was exaggerating. Hopefully the company can find a way to improve their product in the future, even if that would mean raising the price. Best of luck!",No people found this helpful
"June 7, 2021",Reviewed in the United States,KLC,1.0,"Even the smallest extra plug cover that come with it are too large for my ears. For that matter, even with no plug covers on, it is too big for my ears. They just sit slightly inside the ear, even the smallest head movement causes them to fall out of the ear. If you have large ears, they may be fine.",No people found this helpful
"July 26, 2019",Reviewed in the United States,Teresa Clow,5.0,"I have a hard time finding comfortable in ear headphones. But I love the in ear headphones because I work in a noisy environment. These cover both my needs they are small and fit in my ears comfortably and block out the majority of the noise around me. I was worried about the quality due to the low price, but they are very nice and I am not disappointed. I would buy them again.",One person found this helpful
"February 10, 2020",Reviewed in the United States,dostatochno,2.0,"Edit: There just isn't enough strain relief for the cable at the jack. A few mild accidental tugs and you'll lose either one headphone or the mic. I've had 2 pair fail in quick succession.

These are perfectly acceptable for what I paid. I do really wish they had a right-angle connector, but that was not a listed feature so it's not a knock on the product.

Weird note: I got a sealed package that only had the baggy of earphone covers and no headphones and Amazon wanted the basically empty box returned before they'd issue the refund.",No people found this helpful
"April 13, 2020",Reviewed in the United States,Christy W.,5.0,"I used them for listening to music and playing games on ipad/phone. I had tried many earbuds on amazon, some are durable yet a bit more expensive and very sharp color (which I don't like), some are cheap yet lasted only a few days. I decided to try their amazon brand. When they first arrived, I was a bit disappointed, as the pink color is a little deeper than the pictures. However, when I start using them... it was like WOW. Good quality, noise isolation, comfortable and DURABLE for the price! Definitely consider to repurchase (if these break, but I don't think its gonna be recent lol)",No people found this helpful
"May 4, 2019",Reviewed in the United States,Nicholas Zulick,4.0,I use headphones to watch videos during my morning commute. The sound quality is good; not great or bad. I couldn't get a good fit with any of the earbuds but use the largest and they fit snug. They've held up far better than other brands. I used to go through a set about every month.,2 people found this helpful
"September 17, 2020",Reviewed in the United States,Benjamin Perkins,5.0,"Comfortable, inexpensive, and easy to keep track of.

Sound quality is there, nothing super bass heavy mind you, but considering you're using earbuds I wouldn't expect anything more than moderate bass.

The price was definitely right and I'm the event one of my pets or myself breaks these, I'll know where to go to get the replacement set :D",No people found this helpful
"July 6, 2019",Reviewed in the United States,Rachel K,2.0,"I buy cheap earbuds because I have a tendency to lose or break several pairs a year. The inexpensive Panasonic and Sony earbuds I typically buy hold up relatively well, have good sound quality, and don't feel super cheap. These Amazon Basics earbuds, on the other hand, have horrible sound quality (super staticky, weak base), are covered in that weird tacky-feeling coating that is going to be disgusting in about a week, and are pretty uncomfortable to wear. On the plus side, the mic works okay and there are a variety of the little silicone covers for the actual earbuds (I just don't find any of them work for me). I'll probably end up keeping these in my desk at work and repurchasing the same old Panasonic ones I broke last week.",One person found this helpful
"September 15, 2019",Reviewed in the United States,Drewk,1.0,The only reason these get one star is because I cannot give them zero. Within 5 minutes these headphones started crackling with static and sound so bad they are unusable. They may be the lowest quality product I've ever purchased from Amazon.,4 people found this helpful
"March 16, 2019",Reviewed in the United States,Green Tree,5.0,These headphones are very good for the price. Sound quality is good. These may not great option for noise cancellation or for working out (as wires may come in your way). These headphones will help you for daily use and comfortably fit in the ear and to make phones calls.,4 people found this helpful
"November 4, 2020",Reviewed in the United States,AutumnSkye,4.0,"The sound isn’t as flat as I was expecting for the price.

I Love that these earbuds block out some sound so it’s easy to listen to music and watch videos in the same room as other people and not be competing or need to turn up the volume really high.

I had to buy two just in case so that I have a backup pair.",No people found this helpful
"September 9, 2020",Reviewed in the United States,VAsunshine,4.0,"With all the online meetings, these were necessary and for the price, they are a good deal. The one thing I wish it had was volume control on the headset, which it does not. It only has a button that would answer/hang up a call. After a while, Apple earbuds were hurting my ears so badly after a long day of work and these are soft and cushioned.",No people found this helpful
"March 27, 2021",Reviewed in the United States,Lainey Marie,1.0,"Do not buy this product. I ordered these a few times in past and they do not last. I ordered another recently in January thinking maybe it was something i was doing wrong and no, they just don’t last. They are comfortable, but it’s a shame how cheaply made they are.",One person found this helpful
"September 20, 2019",Reviewed in the United States,Debra,4.0,I left home without my earbuds and had to order these and ship them to my hotel. I searched Amazon for ear buds that were compatible with an iPhone Xr and this popped up. I ordered it without reading carefully enough. When it arrived it was NOT compatible. I then had to spend an additional $25 at the airport for a converter to use this with an Iphone. This is probably my fault for trusting the search and should have checked the plug.,No people found this helpful
"June 26, 2020",Reviewed in the United States,GioVanni Spallanzani,5.0,"They're great, very inexpensive. I bought 3 to keep in a gym bag, car and one at work cause I always forget them

They sound great, good length and the sound quality is really amazing. Very bass heavy.

I love the colors too.

Wish they had volume controls, wish I knew if they were water proof. They feel frail but I'm not worries about these.",No people found this helpful
"June 18, 2021",Reviewed in the United States,JWL54,2.0,"These disconnect on calls and continuously pause music while trying to listen. The chord is also very bulky, and these are pretty bad. The only thing that’s good is the sound quality, but the on and off pausing takes away from that no matter what. Wouldn’t reccomend",No people found this helpful
"March 24, 2019",Reviewed in the United States,Nerdlinger,5.0,"These have a solid bass, no tinny sound. The microphone is clear. All in all a good set of eqrphones.",5 people found this helpful
"May 22, 2019",Reviewed in the United States,John A. Dorny,1.0,"Well, it worked for a day, then one of the buds stopped working. If this could somehow be replaced or fixed, I would probably give a better review",4 people found this helpful
"June 13, 2021",Reviewed in the United States,Shannon,1.0,"The wiring in the headphones is messed up and it messes with the settings of my phone randomly. I'll be listening to something and all the sudden I'll see the volume bar appear on the screen and crank all the way up and then my eardrums get blown out and it won't let me turn it back down. I've gotten better earbuds from the dollar store, where I'll probably go to get a replacement for these.",No people found this helpful
"April 2, 2019",Reviewed in the United States,Dennis D Brown,5.0,Good product that does what it is designed to do at a fair price.,5 people found this helpful
"April 22, 2020",Reviewed in the United States,Z.A. Sharpe,2.0,"They are okay earbuds. They play music with okay sound and seem to be okay build-wise. If you want a cheap pair of headphones to get you buy, these will suffice.

Update:
After having these for a month, the connection is already going bad. Granted, these are cheap earbuds, but I was hoping to get a little more out of them.",No people found this helpful
"April 8, 2020",Reviewed in the United States,Akpilot59,5.0,"This is my 2nd pair & will order a few more pairs as one never knows when something will become unavailable. Other than a pair I bought in Russia, these are for me the BEST!! The way they are made they block out all noise other than what one is listening too. Nice and long... They are the best & for the price the quality is amazing!!",No people found this helpful
"June 29, 2019",Reviewed in the United States,Rose Gold Faced,5.0,"The sound quality is better than the earphones I got from Five Below! Not bad for generic earphones!
",3 people found this helpful
"June 3, 2021",Reviewed in the United States,Happy Face,1.0,Worked fine for a few weeks but wire frayed and separated from the microphone component shortly thereafter. I can still hear from them but I can't use the microphone. Not worth the money for something that lasted only a month.,No people found this helpful
"July 31, 2020",Reviewed in the United States,April Holler,4.0,I have had a lot of earphones and since I was 20 I have slept with earphones and half of the time they end up wrapped around my neck and then I try to roll over and the cord tugs and it ends up choking me. The cord on these is really long. The bright color is great too since it is easy to find.,No people found this helpful
"October 24, 2020",Reviewed in the United States,RobertP,5.0,The shape and padding fits my ears well and helps block outside noise when I am on a phone call. Sound quality is good. They work and they are inexpensive enough I can buy a pair to keep on my desk and another pair to keep packed in my travel bag.,No people found this helpful
"June 13, 2019",Reviewed in the United States,P. Theo,4.0,Came quickly and as shown. Fit tight and worked well. They are not Apple earphones but don't cost as much. If you want Apple then pay the price otherwise these work well.,2 people found this helpful
"August 16, 2020",Reviewed in the United States,MinimalistMomTop Contributor: Baby,3.0,These are pretty comfortable for this price point and deliver good midrange sound. I took 2 stars because the mic function didn’t work and I also did not get the extra buds for resizing. If you’re only using to listen these are a steal at the price.,No people found this helpful
"April 28, 2020",Reviewed in the United States,Kneedecker,1.0,"Here’s a weirdly terrifying thing that just happened—a small, black piece of mesh that covers the hole where the sound comes out became lodged in my ear. I was able to remove it by flushing my ear with water.",One person found this helpful
"March 14, 2021",Reviewed in the United States,Ken,2.0,"You get what you pay for. They were cheap and highly rated so i took the plunge. They had decent sound quality and a good fit, coming with additional buds to switch out to for better fits. I never used it to field calls or as a mic, but the inline control worked for videos, at least. But only for four months, at which point the left earbud, as well as the inline control, just stopped working inexplicably. Pretty much exactly what I paid for.",No people found this helpful
"June 18, 2021",Reviewed in the United States,Cathy Holloway,5.0,I go through A LOT of ear buds so I've come to learn which last the longest and have the best sound quality. These are by far the best I've had and they are extremely sturdy. I listen to books almost 24/7 so I'm not sure about music but they work EXTREMELY well for me.,No people found this helpful
"March 3, 2021",Reviewed in the United States,Deb,3.0,"I didn’t like these, the earphone bud is offset, since I watch tv on my side late at night, they hurt my ears. Plus the sound seems to cut in and out, and the sound quality is not good at all.",No people found this helpful
"October 26, 2020",Reviewed in the United States,Angie B.,1.0,Unfortunately these stopped working a few days after we received them. Amazon credited the purchase and messaged that a new pair would be sent. I waited to order a different replacement but no other headphone replacements arrived. So sad. I've appreciated the Amazon Basics Line and would still use in future for different products.,No people found this helpful
"June 6, 2020",Reviewed in the United States,Jessica Rodriguez,4.0,I got these headphones for my mom as an older women she doesn't know how to use the other styles/type of headsets. she hasn't complained about these headsets at all. which she always complains about anything electronic. so I guess it's a good fit for her.,No people found this helpful
"June 15, 2021",Reviewed in the United States,Adrian Michael Nejedly,1.0,Problem when using for voice communications on video games is the mic picks up the audio from the ear bud and those your playing with deal with the feedback. But used to listen to audio on phone perfect.,No people found this helpful
"December 5, 2020",Reviewed in the United States,Nancy Brown,5.0,These are not theater quality sound but they work for what I want them for. Mic included so that I can use them with my phone if I want. I listen to videos from my Chromebook and they work fine for that.,No people found this helpful
"November 7, 2020",Reviewed in the United States,Robert H.,5.0,"I needed a emergency pair of ear buds. I normally use ear buds at nighttime ... As, I need heavy rain to fall asleep. I bought these on a whim. So far so good! Are they Beats by Dre, or Bose? No! However, I expected far less quality...And, so far so good. They’ve held up to tossing and turning, flopping and flipping, plus my work meetings!",No people found this helpful
"December 11, 2020",Reviewed in the United States,Andres,4.0,"It was just what I was expecting for the price and more. They sound pretty decent and the materials are not cheap. I'm going to give this a solid 4 stars because they have served me well for the past couple of months. If you don't want to spend a lot of money and need some decent headphones asap, I totally recommend this product.",One person found this helpful
"June 25, 2020",Reviewed in the United States,Amazon Customer,5.0,"I purchased a set of these and thought they were a good value at first, but in a couple of months one pair stopped working, I returned them for replacement, and another 4 months later, one pair stopped working again. Not very durable. Pretty disappointed in the quality. These are not made to last.",No people found this helpful
"January 4, 2020",Reviewed in the United States,Karen (Amazon Customer),5.0,"These Ear Buds work great!! I am constantly buying replacement ones for my kids, not because they get broke or stop working but because they lose them!!! These are really expensive but work really well and I do know they last a very long time because I still have my original ones!!!",No people found this helpful
"April 4, 2019",Reviewed in the United States,xhail2skinsx,5.0,Exactly what I wanted to replace my out of the box headphones that came with my iPhone 6S 2-3 years ago. Fits my ear perfectly.,4 people found this helpful
"June 18, 2021",Reviewed in the United States,Lisa,3.0,"My coworkers complained about buzzing when I used these for video calls. As soon as I unplugged them and used a didn't set of headphones, it when away.",No people found this helpful
"August 28, 2019",Reviewed in the United States,Amazon Customer,1.0,These were comfortable and did block a lot of the ambient sound. They just didn't do the most important task of delivering audio worth listening to. There was distortion and even at full volume the voices were basically inaudible. They were like old headphones that have started to die. Also the button was on the left not the right.,One person found this helpful
"June 6, 2021",Reviewed in the United States,Nikki,2.0,I wanted something inexpensive because I misplaced my others. I use them in the car and I can barely hear with them nor can the caller I am speaking to,No people found this helpful
"February 17, 2021",Reviewed in the United States,Amazon Customer,5.0,"These works perfectly. They are not fancy, but the allow me to listen to my podcasts and music just fine. I have had them for awhile now and have had zero issues.",No people found this helpful
"January 13, 2020",Reviewed in the United States,Benedict,1.0,"There is a sticker/tag on the cord. I can understand seeing this on a power cable for a TV or something, but headphones? Really?? Also, these have a dumb design. It's like each earbud has an additional smaller earbud sticking out of it at a 45 degree angle. I just want a normal set of headphones is that so hard to ask? I see it now in the photos but because of the angles the photos are taken I didn't really expect it. (Oh, and the photos don't even show that the cord comes with a tag on it. One star.)",No people found this helpful
"December 15, 2020",Reviewed in the United States,T G,5.0,I think these are the ones I had but I lost them. I loved them I can't find another pair. They keep people out of your conversation but you have to kind of have to talk quit or low.,No people found this helpful
"February 6, 2021",Reviewed in the United States,Kekoa 🦊,5.0,I bought these headphones cause I spend about 2 hours a day commuting to and from work and frankly I don't want to hear anything but my old mix tapes. Imagine my surprise when I found out that they work. Great product that is inexpensive. Comes with extra tips for y'all to lose in your junk drawer. Noise cancelling is spot on. Now when some rando tries to start up a conversation with me I can just nod my head and smile cause I got no clue what they are saying. 😁,No people found this helpful
"June 16, 2021",Reviewed in the United States,Diane C,1.0,"Well buy cheap and you get cheap. While they are earbuds with volume control button, IT DOES NOT WORK WITH THE VOLUME ON SAMSUNG S8.",No people found this helpful
"March 11, 2020",Reviewed in the United States,AndiCat,1.0,These worked fine for a few uses but then one side just completely stopped. I only use them to watch the occasional movie on my laptop so they weren't overused or damaged by me in any way. I've owned them a little over a month and I had to get something else to replace them.,No people found this helpful
"April 23, 2021",Reviewed in the United States,paige,5.0,I was pleasantly surprised with these. I use them daily at work for music via phone. They've held up and the cord part is nicely coated to not tangle so easily. I would recommend.,No people found this helpful
"September 18, 2020",Reviewed in the United States,Remy,5.0,"I usually don’t like to wear earbuds are they hurt my ears. This one comes with three different sizes so you can customize the fit for your ears.. For earbuds, these are pretty comfortable.",No people found this helpful
"April 27, 2021",Reviewed in the United States,T.,1.0,These are junk. Please subtract one star from my rating. No bass response at all. All tinny. Not even worth the low price. Nice green color though...,No people found this helpful
"October 3, 2020",Reviewed in the United States,Hannah Wilcock,4.0,"These earbuds lasted me slightly less than a year - I orderd them Oct. 2019 and just now the side with the microphone has shorted and no longer makes sound our allows me to use the microphone and buttons. That being said I'm impressed with how long they lasted considering how inexpensive they are. They work well while they are working - sound quality is nice, the buttons worked well with spotify, the microphone does its job. Overall great for the price.",No people found this helpful
"April 13, 2021",Reviewed in the United States,M. Richards,1.0,I can't even use this in a meeting. I tested it on a MacBook and Dell laptop. To the remote users it sounds like something isn't grounded with the mic. Oh well - I'm going to try to find another compact option.,No people found this helpful
"April 3, 2019",Reviewed in the United States,MARCUS,5.0,Very affordable and a steal for the price!,4 people found this helpful
"March 22, 2021",Reviewed in the United States,Russell jenks,1.0,Two pairs seemed to have a weird end on them it wasn't round but was oblong with a square metal thing sticking out couldn't use them,No people found this helpful
"August 16, 2020",Reviewed in the United States,sav,5.0,Simply..the sound quality is what you pay for. I just needed these for the microphone part and not music. These are more for a child or someone who doesn't need good quality sound.,No people found this helpful
