날짜,국가,이름,평점,리뷰,도움
"June 18, 2019",Reviewed in the United States,Tamara,5.0 out of 5 stars,"I bought these when I needed a pair of earbuds in a hurry.  I have ""good"" ones, but I had forgotten to bring them.  Since these were basically supposed to be just for one day, I didn't want to spend much, and I didn't have high expectations.  What a nice surprise I got with these.  For under $10, they're comfortable, and work really well.  The don't block out noise completely, like my fancy pair, but they provide decent sound and don't hurt my ears.  They were supposed to be a one day patch, but I like them so well that I keep them in my bag all the time.  I'm not mad when I have to pull them out to get me through a commute!",One person found this helpful
"October 20, 2020",Reviewed in the United States,Julia,5.0 out of 5 stars,"I mean, they're not Bose or Beats or anything like that, BUT they are surprisingly good. The bass is good, and they can be VERY loud, or pretty quiet, so the volume control is good. They come with more ear cushions if your ears are smaller or bigger than the default ones, so they fit very nice. Truthfully, I think the sound quality with these is just as good as my AirPods, and they fit better. The only thing I like better about the AirPods is that they're Bluetooth and these are obviously not. You should totally buy these!",0 people found this helpful
"December 31, 2019",Reviewed in the United States,PC,5.0 out of 5 stars,I have 2 pairs of earphones - these and the really good Panasonic ones and I got these because that one has an L-shaped jack that wouldn't go with my phone case - and this one is a trooper just like that one. Great sound quality and wonderful durability. The straight jack on this works perfectly with my phone so that makes it very convenient for me. The cord is a good length.,One person found this helpful
"September 15, 2020",Reviewed in the United States,Ultimate Mommy,3.0 out of 5 stars,"I love pink! I needed a pair that my husband and teenage boys wouldn’t mistake for the pair that comes in the box with the iPhone.There are a couple of features that I wasn’t aware of:1) You will need a converter to use with your iPhone X2) the control button is NOT for volume. You will only be able to start and stop music or use the microphone.Nevertheless, it’s definitely a keeper since I have an earphone converter and it’s the perfect shade of pink💕",0 people found this helpful
"October 12, 2019",Reviewed in the United States,pbpvol,1.0 out of 5 stars,"Left earbud did not work right out of the box.  Very cheap feeling plastic parts and I'm not used to expensive earbuds so I'm not making an unfair comparison. To Amazon's credit, they say they will issue an immediate refund but I will not purchase these again. I'll spend a few dollars more (these were about $9) and get some of a little higher quality,  I hope.",3 people found this helpful
"July 28, 2020",Reviewed in the United States,J. La Tour,5.0 out of 5 stars,The first time i used them for a phone call there was an echo on both sides of the call.  But after a minute the echo went away and I haven't heard it since.  They are very comfortable and the sound is great. I got more than I expected from the purchase.,One person found this helpful
"March 30, 2020",Reviewed in the United States,W. Dempsey,4.0 out of 5 stars,"These headphones are bare-bones, you can hear from them and they have a mic, that's it.  Want something fancy?  You're looking in the wrong place.  Want something that can take a beating and will work perfectly fine for years to come?  These are what you're looking for.  I keep them as a backup for my wireless headphones for video calls and such; while they won't blow your mind with sound quality or comfort they get the job done!",0 people found this helpful
"February 12, 2019",Reviewed in the United States,Becca,2.0 out of 5 stars,"I bought these b/c the Amazon Basics HEADPHONES were of great sound quality. Needless to say, I was VERY disappointed and this was the worst earbud I've ever tried. THE WORST, that includes the ones I've bought from dollar tree. Its only saving grace was that it was designed well and came with earbuds of different sizes. That's it.DO NOT BUY, save money for the Amazon Basics Headphones or buy earphones from a different brand, these were TERRIBLE.",3 people found this helpful
"October 27, 2020",Reviewed in the United States,RJ,1.0 out of 5 stars,"It was worth a try to get something in a hurry, but these would make better shoelaces than headphones. Half an hour wearing these during a video stream was headache enough. I thought I had suddenly developed tinnitus --in both ears at once!  I wish I was exaggerating. Hopefully the company can find a way to improve their product in the future, even if that would mean raising the price. Best of luck!",0 people found this helpful
"June 7, 2021",Reviewed in the United States,KLC,1.0 out of 5 stars,"Even the smallest extra plug cover that come with it are too large for my ears.  For that matter, even with no plug covers on, it is too big for my ears.  They just sit slightly inside the ear, even the smallest head movement causes them to fall out of the ear.  If you have large ears, they may be fine.",0 people found this helpful
"July 26, 2019",Reviewed in the United States,Teresa Clow,5.0 out of 5 stars,"I have a hard time finding comfortable in ear headphones. But I love the in ear headphones because I work in a noisy environment. These cover both my needs they are small and fit in my ears comfortably and block out the majority of the noise around me. I was worried about the quality due to the low price, but they are very nice and I am not disappointed. I would buy them again.",One person found this helpful
"February 10, 2020",Reviewed in the United States,dostatochno,2.0 out of 5 stars,"Edit:  There just isn't enough strain relief for the cable at the jack.  A few mild accidental tugs and you'll lose either one headphone or the mic. I've had 2 pair fail in quick succession.These are perfectly acceptable for what I paid.  I do really wish they had a right-angle connector, but that was not a listed feature so it's not a knock on the product.Weird note: I got a sealed package that only had the baggy of earphone covers and no headphones and Amazon wanted the basically empty box returned before they'd issue the refund.",0 people found this helpful
"April 13, 2020",Reviewed in the United States,Christy W.,5.0 out of 5 stars,"I used them for listening to music and playing games on ipad/phone. I had tried many earbuds on amazon, some are durable yet a bit more expensive and very sharp color (which I don't like), some are cheap yet lasted only a few days. I decided to try their amazon brand. When they first arrived, I was a bit disappointed, as the pink color is a little deeper than the pictures. However, when I start using them... it was like WOW. Good quality, noise isolation, comfortable and DURABLE for the price! Definitely consider to repurchase (if these break, but I don't think its gonna be recent lol)",0 people found this helpful
"May 4, 2019",Reviewed in the United States,Nicholas Zulick,4.0 out of 5 stars,I use headphones to watch videos during my morning commute. The sound quality is good; not great or bad. I couldn't get a good fit with any of the earbuds but use the largest and they fit snug.  They've held up far better than other brands. I used to go through a set about every month.,2 people found this helpful
"September 17, 2020",Reviewed in the United States,Benjamin Perkins,5.0 out of 5 stars,"Comfortable, inexpensive, and easy to keep track of.Sound quality is there, nothing super bass heavy mind you, but considering you're using earbuds I wouldn't expect anything more than moderate bass.The price was definitely right and I'm the event one of my pets or myself breaks these, I'll know where to go to get the replacement set :D",0 people found this helpful
"July 6, 2019",Reviewed in the United States,Rachel K,2.0 out of 5 stars,"I buy cheap earbuds because I have a tendency to lose or break several pairs a year. The inexpensive Panasonic and Sony earbuds I typically buy hold up relatively well, have good sound quality, and don't feel super cheap. These Amazon Basics earbuds, on the other hand, have horrible sound quality (super staticky, weak base), are covered in that weird tacky-feeling coating that is going to be disgusting in about a week, and are pretty uncomfortable to wear. On the plus side, the mic works okay and there are a variety of the little silicone covers for the actual earbuds (I just don't find any of them work for me). I'll probably end up keeping these in my desk at work and repurchasing the same old Panasonic ones I broke last week.",One person found this helpful
"September 15, 2019",Reviewed in the United States,Drewk,1.0 out of 5 stars,The only reason these get one star is because I cannot give them zero. Within 5 minutes these headphones started crackling with static and sound so bad they are unusable. They may be the lowest quality product I've ever purchased from Amazon.,4 people found this helpful
"March 16, 2019",Reviewed in the United States,Green Tree,5.0 out of 5 stars,These headphones are very good for the price. Sound quality is good. These may not great option for noise cancellation or for working out (as wires may come in your way). These headphones will help you for daily use and comfortably fit in the ear and to make phones calls.,4 people found this helpful
"November 4, 2020",Reviewed in the United States,AutumnSkye,4.0 out of 5 stars,The sound isn’t as flat as I was expecting for the price.I Love that these earbuds block out some sound so it’s easy to listen to music and watch videos in the same room as other people and not be competing or need to turn up the volume really high.I had to buy two just in case so that I have a backup pair.,0 people found this helpful
"September 9, 2020",Reviewed in the United States,VAsunshine,4.0 out of 5 stars,"With all the online meetings, these were necessary and for the price, they are a good deal. The one thing I wish it had was volume control on the headset, which it does not. It only has a button that would answer/hang up a call. After a while, Apple earbuds were hurting my ears so badly after a long day of work and these are soft and cushioned.",0 people found this helpful
"March 27, 2021",Reviewed in the United States,Lainey Marie,1.0 out of 5 stars,"Do not buy this product. I ordered these a few times in past and they do not last. I ordered another recently in January thinking maybe it was something i was doing wrong and no, they just don’t last. They are comfortable, but it’s a shame how cheaply made they are.",One person found this helpful
"September 20, 2019",Reviewed in the United States,Debra,4.0 out of 5 stars,I left home without my earbuds and had to order these and ship them to my hotel.  I searched Amazon for ear buds that were compatible with an iPhone Xr and this popped up.  I ordered it without reading carefully enough.  When it arrived it was NOT compatible.  I then had to spend an additional $25 at the airport for a converter to use this with an Iphone.  This is probably my fault for trusting the search and should have checked the plug.,0 people found this helpful
"June 26, 2020",Reviewed in the United States,GioVanni Spallanzani,5.0 out of 5 stars,"They're great, very inexpensive. I bought 3 to keep in a gym bag, car and one at work cause I always forget themThey sound great, good length and the sound quality is really amazing. Very bass heavy.I love the colors too.Wish they had volume controls, wish I knew if they were water proof. They feel frail but I'm not worries about these.",0 people found this helpful
"June 18, 2021",Reviewed in the United States,JWL54,2.0 out of 5 stars,"These disconnect on calls and continuously pause music while trying to listen. The chord is also very bulky, and these are pretty bad. The only thing that’s good is the sound quality, but the on and off pausing takes away from that no matter what. Wouldn’t reccomend",0 people found this helpful
"March 24, 2019",Reviewed in the United States,Nerdlinger,5.0 out of 5 stars,"These have a solid bass, no tinny sound.  The microphone is clear. All in all a good set of eqrphones.",5 people found this helpful
